Company,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Total Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Protein (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Category,FreeStyle Points,SmartPoints,PointsPlus
a-w,Grandpa Burger with Cheese,820,450,50.0,22.0,1.5,155.0,1170.0,37.0,1.0,8.0,51.0,77.0,110.0,52.0,49.0,12.0,4.0,102.0,6.0,2.0,10.0,45.0,Burgers,27.0,27.0,21.0
a-w,Lettuce Wrapped Baby Burger without Cheese,110,54,6.0,3.0,0.0,25.0,230.0,4.0,0.0,3.0,8.0,9.0,15.0,8.0,10.0,1.0,0.0,16.0,0.0,0.0,0.0,4.0,Burgers,4.0,4.0,3.0
a-w,Lettuce Wrapped Baby Burger with Cheese,170,81,9.0,5.5,0.3,40.0,330.0,4.0,0.0,3.0,11.0,14.0,28.0,13.0,14.0,1.0,0.0,22.0,4.0,0.0,6.0,8.0,Burgers,6.0,6.0,4.0
a-w,Lettuce Wrapped Beyond Meat Burger,340,234,26.0,4.0,0.0,5.0,880.0,10.0,2.0,4.0,17.0,40.0,20.0,2.0,37.0,3.0,8.0,34.0,0.0,4.0,2.0,30.0,Burgers,10.0,10.0,9.0
a-w,Lettuce Wrapped Buddy Burger without Cheese,180,99,11.0,4.0,0.2,28.0,480.0,11.0,1.0,7.0,9.0,17.0,20.0,9.0,20.0,4.0,4.0,18.0,0.0,0.0,0.0,4.0,Burgers,7.0,7.0,5.0
a-w,Lettuce Wrapped Buddy Burger with Cheese,240,126,14.0,6.5,0.3,43.0,580.0,11.0,1.0,7.0,12.0,22.0,33.0,14.0,24.0,4.0,4.0,24.0,4.0,0.0,8.0,4.0,Burgers,9.0,9.0,6.0
a-w,Lettuce Wrapped Cheddar Bacon Uncle Burger,610,405,45.0,19.0,1.0,120.0,930.0,8.0,0.0,4.0,34.0,69.0,95.0,40.0,39.0,3.0,0.0,68.0,10.0,4.0,15.0,20.0,Burgers,21.0,21.0,16.0
a-w,without Cheese Lettuce Wrapped Double Buddy Burger,270,153,17.0,7.0,0.4,53.0,610.0,11.0,1.0,7.0,17.0,26.0,35.0,18.0,25.0,4.0,4.0,34.0,0.0,0.0,0.0,8.0,Burgers,9.0,9.0,7.0
a-w,with Cheese Lettuce Wrapped Double Buddy Burger,330,180,20.0,9.5,0.5,68.0,710.0,11.0,1.0,7.0,20.0,31.0,48.0,23.0,30.0,4.0,4.0,40.0,4.0,0.0,8.0,8.0,Burgers,12.0,12.0,8.0
a-w,Lettuce Wrapped Double Teen Burger,520,315,35.0,16.0,1.0,115.0,860.0,9.0,0.0,6.0,34.0,54.0,80.0,38.0,36.0,3.0,0.0,68.0,4.0,6.0,6.0,20.0,Burgers,18.0,18.0,13.0
a-w,Lettuce Wrapped Grandpa Burger without Cheese,610,387,43.0,18.5,1.5,140.0,860.0,8.0,0.0,5.0,43.0,66.0,93.0,47.0,36.0,3.0,0.0,86.0,0.0,2.0,0.0,30.0,Burgers,20.0,20.0,16.0
a-w,Lettuce Wrapped Grandpa Burger with Cheese,670,414,46.0,21.0,1.5,155.0,960.0,8.0,0.0,5.0,46.0,71.0,105.0,52.0,40.0,3.0,0.0,92.0,4.0,2.0,6.0,30.0,Burgers,22.0,22.0,17.0
a-w,without Cheese Lettuce Wrapped Mama Burger,250,153,17.0,6.5,0.5,50.0,500.0,8.0,0.0,5.0,15.0,26.0,33.0,17.0,21.0,3.0,0.0,30.0,0.0,2.0,0.0,10.0,Burgers,9.0,9.0,7.0
a-w,with Cheese Lettuce Wrapped Mama Burger,310,180,20.0,9.0,0.5,65.0,600.0,8.0,0.0,5.0,18.0,31.0,45.0,22.0,25.0,3.0,0.0,36.0,4.0,2.0,6.0,10.0,Burgers,11.0,11.0,8.0
a-w,Single Lettuce Wrapped Mozza Burger,460,324,36.0,12.5,1.0,80.0,570.0,7.0,0.0,5.0,22.0,55.0,63.0,27.0,24.0,2.0,0.0,44.0,8.0,8.0,15.0,10.0,Burgers,16.0,16.0,12.0
a-w,Double Lettuce Wrapped Mozza Burger,640,441,49.0,18.5,1.5,125.0,750.0,7.0,0.0,5.0,36.0,75.0,93.0,42.0,31.0,2.0,0.0,72.0,8.0,8.0,15.0,20.0,Burgers,22.0,22.0,17.0
a-w,Lettuce Wrapped Papa Burger without Cheese,430,270,30.0,12.5,1.0,95.0,680.0,8.0,0.0,5.0,29.0,46.0,63.0,32.0,28.0,3.0,0.0,58.0,0.0,2.0,0.0,20.0,Burgers,14.0,14.0,11.0
a-w,Lettuce Wrapped Papa Burger with Cheese,490,297,33.0,15.0,1.0,110.0,780.0,8.0,0.0,5.0,32.0,51.0,75.0,37.0,33.0,3.0,0.0,64.0,4.0,2.0,6.0,20.0,Burgers,16.0,16.0,12.0
a-w,Lettuce Wrapped Teen Burger,340,198,22.0,10.0,0.5,70.0,680.0,9.0,0.0,6.0,20.0,34.0,50.0,23.0,28.0,3.0,0.0,40.0,4.0,6.0,6.0,10.0,Burgers,12.0,12.0,8.0
a-w,without Cheese Mama Burger,400,180,20.0,7.0,0.5,50.0,730.0,38.0,1.0,9.0,19.0,31.0,35.0,17.0,30.0,13.0,4.0,38.0,0.0,2.0,4.0,25.0,Burgers,13.0,13.0,11.0
a-w,with Cheese Mama Burger,460,216,24.0,10.0,0.5,55.0,800.0,37.0,1.0,8.0,23.0,37.0,50.0,18.0,33.0,12.0,4.0,46.0,6.0,2.0,10.0,25.0,Burgers,15.0,15.0,12.0
a-w,Single Mozza Burger,620,351,39.0,13.0,1.0,80.0,800.0,37.0,1.0,9.0,27.0,60.0,65.0,27.0,33.0,12.0,4.0,54.0,8.0,8.0,20.0,25.0,Burgers,21.0,21.0,16.0
a-w,Double Mozza Burger,800,468,52.0,19.0,1.5,125.0,980.0,37.0,1.0,9.0,41.0,80.0,95.0,42.0,41.0,12.0,4.0,82.0,8.0,8.0,20.0,35.0,Burgers,27.0,27.0,21.0
a-w,Papa Burger without Cheese,580,297,33.0,13.0,1.0,95.0,910.0,38.0,1.0,9.0,33.0,51.0,65.0,32.0,38.0,13.0,4.0,66.0,0.0,2.0,4.0,35.0,Burgers,19.0,19.0,16.0
a-w,Papa Burger with Cheese,640,333,37.0,16.0,1.0,110.0,990.0,37.0,1.0,8.0,37.0,57.0,80.0,37.0,41.0,12.0,4.0,74.0,6.0,2.0,10.0,35.0,Burgers,21.0,21.0,17.0
a-w,Teen Burger,500,234,26.0,11.0,0.5,70.0,910.0,39.0,1.0,10.0,25.0,40.0,55.0,23.0,38.0,13.0,4.0,50.0,6.0,6.0,10.0,25.0,Burgers,17.0,17.0,13.0
a-w,Bacon Ranch Chicken Wrap,270,126,14.0,3.0,0.1,20.0,680.0,24.0,2.0,0.5,9.0,22.0,15.0,7.0,28.0,8.0,8.0,18.0,0.0,0.0,4.0,15.0,Chicken,7.0,8.0,7.0
a-w,BLT Chicken Burger,700,378,42.0,6.0,0.1,85.0,1530.0,51.0,4.0,5.0,27.0,65.0,30.0,28.0,64.0,17.0,16.0,54.0,0.0,4.0,4.0,25.0,Chicken,19.0,21.0,18.0
a-w,Chicken Buddy Burger,360,171,19.0,2.0,0.0,20.0,780.0,36.0,2.0,5.0,10.0,29.0,10.0,7.0,33.0,12.0,8.0,20.0,0.0,0.0,4.0,16.0,Chicken,9.0,11.0,10.0
a-w,3 Piece Chicken Strips,300,135,15.0,1.0,0.0,45.0,880.0,25.0,1.0,1.0,17.0,23.0,5.0,15.0,37.0,8.0,4.0,34.0,0.0,2.0,0.0,25.0,Chicken,7.0,8.0,8.0
a-w,5 Piece Chicken Strips,500,225,25.0,2.0,0.0,75.0,1460.0,41.0,2.0,2.0,28.0,38.0,10.0,25.0,61.0,14.0,8.0,56.0,0.0,4.0,0.0,40.0,Chicken,11.0,13.0,13.0
a-w,Chubby Chicken Burger,490,243,27.0,3.0,0.0,40.0,1190.0,44.0,2.0,4.0,21.0,42.0,15.0,13.0,50.0,15.0,8.0,42.0,0.0,0.0,6.0,25.0,Chicken,12.0,14.0,13.0
a-w,Double Chicken Buddy Burger,480,225,25.0,3.0,0.0,35.0,1080.0,46.0,3.0,7.0,16.0,38.0,15.0,12.0,45.0,15.0,12.0,32.0,0.0,0.0,4.0,20.0,Chicken,11.0,15.0,13.0
a-w,Lettuce Wrapped BLT Chicken Burger,460,315,35.0,5.0,0.0,55.0,1170.0,14.0,1.0,1.0,21.0,54.0,25.0,18.0,49.0,5.0,4.0,42.0,0.0,4.0,2.0,10.0,Chicken,12.0,13.0,12.0
a-w,Lettuce Wrapped Chicken Buddy Burger,230,153,17.0,2.0,0.0,25.0,570.0,10.0,1.0,1.0,8.0,26.0,10.0,8.0,24.0,3.0,4.0,16.0,0.0,0.0,0.0,4.0,Chicken,5.0,7.0,6.0
a-w,Lettuce Wrapped Chubby Chicken Burger,370,243,27.0,2.0,0.0,45.0,760.0,17.0,1.0,3.0,17.0,42.0,10.0,15.0,32.0,6.0,4.0,34.0,2.0,20.0,0.0,8.0,Chicken,9.0,10.0,10.0
a-w,Lettuce Wrapped Double Chicken Buddy Burger,350,207,23.0,3.0,0.0,45.0,870.0,19.0,2.0,2.0,15.0,35.0,15.0,15.0,36.0,6.0,8.0,30.0,0.0,0.0,0.0,8.0,Chicken,7.0,10.0,9.0
a-w,Lettuce Wrapped Spicy Habanero Chicken Burger,370,243,27.0,2.0,0.0,45.0,760.0,17.0,1.0,3.0,17.0,42.0,10.0,15.0,32.0,6.0,4.0,34.0,2.0,20.0,0.0,8.0,Chicken,9.0,10.0,10.0
a-w,Nashville Hot Chicken Sandwich,590,225,25.0,4.0,0.2,65.0,1380.0,58.0,8.0,11.0,31.0,38.0,20.0,22.0,58.0,19.0,32.0,62.0,7.0,0.0,3.0,2.0,Chicken,15.0,17.0,15.0
a-w,Spicy Chipotle Chicken Wrap,270,144,16.0,3.0,0.1,28.0,640.0,24.0,2.0,0.0,10.0,25.0,15.0,9.0,27.0,8.0,8.0,20.0,2.0,0.0,8.0,15.0,Chicken,7.0,8.0,7.0
a-w,Spicy Habanero Chicken Burger,520,270,30.0,3.0,0.1,45.0,990.0,47.0,2.0,7.0,22.0,46.0,15.0,15.0,41.0,16.0,8.0,44.0,2.0,20.0,4.0,20.0,Chicken,13.0,15.0,15.0
a-w,All Canadian Special,920,468,52.0,13.5,0.0,430.0,1270.0,72.0,6.0,13.0,38.0,80.0,68.0,143.0,53.0,24.0,24.0,76.0,20.0,15.0,10.0,40.0,Breakfast,27.0,29.0,24.0
a-w,Bacon & Egger on English Muffin,380,189,21.0,8.0,0.0,215.0,620.0,29.0,1.0,1.0,18.0,32.0,40.0,72.0,26.0,10.0,4.0,36.0,20.0,0.0,25.0,20.0,Breakfast,11.0,12.0,10.0
a-w,Bacon & Egger on Sesame Seed Bun,400,207,23.0,8.0,0.0,215.0,590.0,32.0,1.0,4.0,19.0,35.0,40.0,72.0,25.0,11.0,4.0,38.0,20.0,0.0,15.0,25.0,Breakfast,12.0,13.0,11.0
a-w,Breakfast Wrap,230,108,12.0,5.0,0.0,200.0,430.0,18.0,1.0,2.0,13.0,18.0,25.0,67.0,18.0,6.0,4.0,26.0,10.0,0.0,10.0,15.0,Breakfast,6.0,7.0,6.0
a-w,Cheese & Egger on English Muffin,340,162,18.0,6.0,0.0,205.0,510.0,29.0,1.0,1.0,15.0,28.0,30.0,68.0,21.0,10.0,4.0,30.0,15.0,0.0,25.0,20.0,Breakfast,10.0,11.0,9.0
a-w,Cheese & Egger on Sesame Seed Bun,360,180,20.0,7.0,0.0,205.0,480.0,32.0,1.0,4.0,15.0,31.0,35.0,68.0,20.0,11.0,4.0,30.0,20.0,0.0,15.0,25.0,Breakfast,11.0,12.0,10.0
a-w,Classic Bacon & Eggs,550,243,27.0,9.0,0.0,400.0,820.0,43.0,4.0,2.0,30.0,42.0,45.0,133.0,34.0,14.0,16.0,60.0,20.0,0.0,10.0,35.0,Breakfast,15.0,16.0,14.0
a-w,Hash Brown,180,99,11.0,0.5,0.0,0.0,270.0,18.0,2.0,0.0,2.0,17.0,3.0,0.0,11.0,6.0,8.0,4.0,0.0,15.0,0.0,4.0,Breakfast,5.0,5.0,5.0
a-w,Pancakes with Syrup,590,153,17.0,3.0,0.0,25.0,720.0,98.0,2.0,51.0,9.0,26.0,15.0,8.0,30.0,33.0,8.0,18.0,45.0,0.0,10.0,25.0,Breakfast,24.0,24.0,16.0
a-w,Sausage & Cheddar on English Muffin,440,243,27.0,10.0,0.0,30.0,670.0,30.0,1.0,2.0,17.0,42.0,50.0,10.0,28.0,10.0,4.0,34.0,15.0,0.0,30.0,15.0,Breakfast,15.0,15.0,12.0
a-w,Sausage & Cheddar on Sesame Seed Bun,460,261,29.0,11.0,0.0,55.0,640.0,33.0,1.0,5.0,17.0,45.0,55.0,18.0,27.0,11.0,4.0,34.0,15.0,0.0,15.0,20.0,Breakfast,16.0,16.0,13.0
a-w,Sausage & Egger on English Muffin,510,288,32.0,12.0,0.0,31.0,750.0,31.0,1.0,2.0,24.0,49.0,60.0,10.0,31.0,10.0,4.0,48.0,20.0,0.0,30.0,25.0,Breakfast,16.0,17.0,14.0
a-w,Sausage & Egger on Sesame Seed Bun,530,306,34.0,12.0,0.0,245.0,720.0,34.0,1.0,5.0,24.0,52.0,60.0,82.0,30.0,11.0,4.0,48.0,20.0,0.0,30.0,30.0,Breakfast,17.0,18.0,15.0
a-w,Barbecue Dipping Sauce,60,4.5,0.5,0.4,0.2,0.0,220.0,13.0,0.0,12.0,0.0,1.0,2.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,Condiments,3.0,3.0,2.0
a-w,Chipotle Mayonnaise,360,360,40.0,4.0,0.0,20.0,260.0,4.0,0.0,4.0,0.0,62.0,20.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Condiments,12.0,12.0,11.0
a-w,Small Gravy,50,18,2.0,1.0,0.0,5.0,840.0,5.0,2.0,1.0,3.0,3.0,5.0,2.0,35.0,2.0,8.0,6.0,0.0,0.0,0.0,2.0,Condiments,2.0,2.0,1.0
a-w,Regular Gravy,100,36,4.0,2.0,0.0,10.0,1680.0,10.0,4.0,2.0,6.0,6.0,10.0,3.0,70.0,3.0,16.0,12.0,0.0,0.0,0.0,4.0,Condiments,3.0,3.0,2.0
a-w,Honey Mustard Dipping Sauce,100,72,8.0,0.5,0.1,10.0,200.0,8.0,0.0,6.0,0.0,12.0,3.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,Condiments,4.0,4.0,3.0
a-w,Jalapeno Ranch Dipping Sauce,110,99,11.0,0.8,0.2,10.0,250.0,2.0,0.0,1.0,1.0,17.0,4.0,3.0,10.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,Condiments,4.0,4.0,3.0
a-w,Sweet & Sour Dipping Sauce,60,0,0.0,0.0,0.0,0.0,140.0,14.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Condiments,3.0,3.0,2.0
a-w,Small Apple Juice,180,0,0.0,0.0,0.0,0.0,15.0,44.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,300.0,0.0,0.0,Drinks,10.0,10.0,5.0
a-w,Large Apple Juice,300,0,0.0,0.0,0.0,0.0,25.0,73.0,0.0,73.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,500.0,0.0,0.0,Drinks,18.0,18.0,8.0
a-w,Chocolate Milk,150,22.5,2.5,1.5,0.1,15.0,170.0,26.0,0.0,25.0,8.0,4.0,8.0,5.0,7.0,9.0,0.0,16.0,10.0,0.0,25.0,4.0,Drinks,7.0,7.0,4.0
a-w,Small Chocolate Milkshake,420,99,11.0,7.0,0.3,45.0,270.0,69.0,1.0,63.0,12.0,17.0,35.0,15.0,11.0,23.0,4.0,24.0,10.0,0.0,40.0,4.0,Drinks,21.0,21.0,11.0
a-w,Large Chocolate Milkshake,700,162,18.0,11.0,0.5,75.0,450.0,115.0,2.0,105.0,20.0,28.0,55.0,25.0,19.0,38.0,8.0,40.0,15.0,0.0,70.0,6.0,Drinks,35.0,35.0,19.0
a-w,Small Coca-Cola,140,0,0.0,0.0,0.0,0.0,27.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,9.0,9.0,4.0
a-w,Large Coca-Cola,240,0,0.0,0.0,0.0,0.0,45.0,65.0,0.0,65.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,15.0,15.0,7.0
a-w,Coffee,296,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,9.0,9.0,0.0
a-w,Small Diet Coke,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
a-w,Large Diet Coke,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
a-w,Small Diet Root Beer,1,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
a-w,Large Diet Root Beer,1,0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
a-w,Hot Chocolate,160,4.5,0.5,0.5,0.0,0.0,210.0,26.0,1.0,21.0,1.0,1.0,3.0,0.0,9.0,9.0,4.0,2.0,0.0,0.0,10.0,0.0,Drinks,7.0,7.0,3.0
a-w,Small Iced Tea,110,0,0.0,0.0,0.0,0.0,45.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,7.0,7.0,3.0
a-w,Large Iced Tea,190,0,0.0,0.0,0.0,0.0,75.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,12.0,12.0,5.0
a-w,Small Lemonade,140,0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,30.0,0.0,0.0,Drinks,8.0,8.0,4.0
a-w,Large Lemonade,340,0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,60.0,0.0,0.0,Drinks,17.0,17.0,6.0
a-w,Milk,130,45,5.0,3.0,0.1,20.0,120.0,12.0,0.0,12.0,8.0,8.0,15.0,7.0,5.0,4.0,0.0,16.0,10.0,0.0,25.0,0.0,Drinks,5.0,5.0,3.0
a-w,Small Orange Juice,160,0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,180.0,2.0,0.0,Drinks,9.0,9.0,4.0
a-w,Large Orange Juice,270,0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,300.0,4.0,0.0,Drinks,15.0,15.0,7.0
a-w,Small Root Beer,160,0,0.0,0.0,0.0,0.0,75.0,39.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,9.0,9.0,4.0
a-w,Large Root Beer,270,0,0.0,0.0,0.0,0.0,120.0,65.0,0.0,63.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,16.0,16.0,7.0
a-w,Diet Root Beer Float,140,63,7.0,4.5,0.3,30.0,105.0,17.0,0.0,14.0,2.0,11.0,23.0,10.0,4.0,6.0,0.0,4.0,8.0,0.0,6.0,0.0,Drinks,7.0,7.0,4.0
a-w,Regular Root Beer Float,310,63,7.0,4.5,0.3,30.0,85.0,59.0,0.0,56.0,3.0,11.0,23.0,10.0,4.0,20.0,0.0,6.0,8.0,0.0,6.0,0.0,Drinks,17.0,17.0,8.0
a-w,Small Root Beer Milkshake,420,99,11.0,7.0,0.3,45.0,300.0,70.0,1.0,82.0,12.0,17.0,35.0,15.0,13.0,23.0,4.0,24.0,10.0,0.0,40.0,1.0,Drinks,23.0,23.0,11.0
a-w,Large Root Beer Milkshake,700,162,18.0,11.0,0.5,75.0,500.0,116.0,2.0,104.0,20.0,28.0,55.0,25.0,21.0,39.0,8.0,40.0,15.0,0.0,70.0,2.0,Drinks,35.0,35.0,19.0
a-w,Small Sprite,140,0,0.0,0.0,0.0,0.0,65.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,9.0,9.0,4.0
a-w,Large Sprite,240,0,0.0,0.0,0.0,0.0,110.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,15.0,15.0,7.0
a-w,Small Strawberry Milkshake,410,99,11.0,7.0,0.3,45.0,250.0,68.0,1.0,62.0,12.0,17.0,35.0,15.0,10.0,23.0,4.0,24.0,10.0,0.0,40.0,1.0,Drinks,21.0,21.0,11.0
a-w,Large Strawberry Milkshake,690,162,18.0,11.0,0.5,75.0,450.0,115.0,2.0,104.0,20.0,28.0,55.0,25.0,19.0,38.0,8.0,40.0,15.0,0.0,70.0,2.0,Drinks,35.0,35.0,19.0
a-w,Tea,3,0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drinks,0.0,0.0,0.0
a-w,Small Vanilla Milkshake,410,99,11.0,7.0,0.3,45.0,250.0,68.0,1.0,62.0,12.0,17.0,35.0,15.0,10.0,23.0,4.0,24.0,10.0,0.0,40.0,1.0,Drinks,21.0,21.0,11.0
a-w,Large Vanilla Milkshake,690,162,18.0,11.0,0.5,75.0,420.0,114.0,1.0,104.0,20.0,28.0,55.0,25.0,18.0,38.0,4.0,40.0,15.0,0.0,70.0,2.0,Drinks,35.0,35.0,19.0
a-w,Apple Turnover,280,135,15.0,3.5,0.0,0.0,190.0,38.0,1.0,14.0,3.0,23.0,18.0,0.0,8.0,13.0,4.0,6.0,0.0,35.0,0.0,8.0,Sides,11.0,11.0,8.0
a-w,Cherry Turnover,200,72,8.0,4.0,0.0,0.0,280.0,32.0,1.0,11.0,2.0,12.0,20.0,0.0,12.0,11.0,4.0,4.0,0.0,0.0,0.0,8.0,Sides,8.0,8.0,6.0
a-w,Kids Fries,250,108,12.0,1.0,0.0,35.0,360.0,35.0,3.0,0.0,3.0,18.0,5.0,12.0,15.0,12.0,12.0,6.0,0.0,0.0,2.0,4.0,Sides,8.0,8.0,7.0
a-w,Regular Fries,390,162,18.0,1.5,0.0,54.0,550.0,54.0,5.0,0.0,5.0,28.0,8.0,18.0,23.0,18.0,20.0,10.0,0.0,0.0,2.0,6.0,Sides,12.0,12.0,11.0
a-w,Onion Rings,520,288,32.0,2.5,0.1,50.0,630.0,50.0,4.0,6.0,7.0,49.0,13.0,17.0,26.0,17.0,16.0,14.0,0.0,0.0,6.0,20.0,Sides,16.0,16.0,14.0
a-w,Poutine,660,333,37.0,13.0,1.0,65.0,1770.0,61.0,8.0,1.0,22.0,57.0,65.0,22.0,74.0,20.0,32.0,44.0,15.0,0.0,40.0,10.0,Sides,22.0,22.0,18.0
a-w,Root Beer Lollipop,35,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Sides,2.0,2.0,1.0
dairy-queen,Mini Choco Brownie Extreme Blizzard,400,160,18.0,10.0,0.0,35.0,240.0,58.0,2.0,46.0,9.0,28.0,50.0,12.0,10.0,19.0,8.0,18.0,0.0,0.0,25.0,10.0,Blizzards,20.0,20.0,12.0
